docID,edinetCode,secCode,submitDateTime,periodStart,periodEnd,parentDocID
S1004OTU,E02274,77510,2015-05-14 09:22,2015-01-01,2015-03-31,
S1004OF6,E05576,24810,2015-05-14 09:24,2015-01-01,2015-03-31,
S1004OKK,E00394,25020,2015-05-14 09:25,2015-01-01,2015-03-31,
S1004OWD,E01208,52830,2015-05-14 09:26,2015-01-01,2015-03-31,
S1004OW8,E01997,77110,2015-05-14 09:27,2015-01-01,2015-03-31,
S1004O34,E01257,55420,2015-05-14 09:27,2015-01-01,2015-03-31,
S1004OP1,E02308,77400,2015-05-14 09:28,2015-01-01,2015-03-31,
S1004O14,E02324,68880,2015-05-14 09:30,2015-01-01,2015-03-31,
S1004OOA,E01005,50100,2015-05-14 09:32,2015-01-01,2015-03-31,
S1004NE7,E00393,25010,2015-05-14 09:33,2015-01-01,2015-03-31,
S1004ONB,E04005,,2015-05-14 09:36,2015-01-01,2015-03-31,
S1004O2Y,E04816,97550,2015-05-14 09:36,2015-01-01,2015-03-31,
S1004OL4,E05476,37690,2015-05-14 09:37,2015-01-01,2015-03-31,
S1004NZO,E05684,21500,2015-05-14 09:39,2015-01-01,2015-03-31,
S1004MEY,E05182,48480,2015-05-14 09:42,2015-01-01,2015-03-31,
S1004NV2,E02058,67850,2015-05-14 09:43,2015-01-01,2015-03-31,
S1004OXX,E01901,68560,2015-05-14 09:51,2015-01-01,2015-03-31,
S1004OV5,E05467,24290,2015-05-14 09:51,2015-01-01,2015-03-31,
S1004OXT,E31216,60360,2015-05-14 09:52,2015-01-01,2015-03-31,
S1004OLQ,E03340,76430,2015-05-14 09:55,2015-01-01,2015-03-31,
S1004OJG,E04588,96310,2015-05-14 09:55,2015-01-01,2015-03-31,
S1004OF2,E00876,34050,2015-05-14 09:56,2015-01-01,2015-03-31,
S1004OZ7,E04903,96210,2015-05-14 10:02,2015-01-01,2015-03-31,
S1004OCB,E02421,62910,2015-05-14 10:02,2015-01-01,2015-03-31,
S1004O7H,E02257,73090,2015-05-14 10:03,2015-01-01,2015-03-31,
S1004OY7,E02949,27430,2015-05-14 10:07,2015-01-01,2015-03-31,
S1004MG3,E03211,,2015-05-14 10:07,2015-01-01,2015-03-31,
S1004NUD,E02679,80400,2015-05-14 10:10,2015-01-01,2015-03-31,
S1004ONX,E00559,33020,2015-05-14 10:11,2015-01-01,2015-03-31,
S1004OQM,E30048,16630,2015-05-14 10:16,2015-01-01,2015-03-31,
S1004OIS,E04918,,2015-05-14 10:16,2015-01-01,2015-03-31,
S1004OO8,E00337,22660,2015-05-14 10:17,2015-01-01,2015-03-31,
S1004OCR,E02920,34260,2015-05-14 10:18,2015-01-01,2015-03-31,
S1004ORY,E02343,61560,2015-05-14 10:19,2015-01-01,2015-03-31,
S1004OMG,E01073,50080,2015-05-14 10:20,2015-01-01,2015-03-31,
S1004OJ4,E04808,,2015-05-14 10:23,2015-01-01,2015-03-31,
S1004O4N,E05367,23850,2015-05-14 10:24,2015-01-01,2015-03-31,
S1004OZK,E03359,,2015-05-14 10:25,2015-01-01,2015-03-31,
S1004OX0,E31029,31980,2015-05-14 10:26,2015-01-01,2015-03-31,
S1004OYI,E02979,33550,2015-05-14 10:29,2015-01-01,2015-03-31,
S1004O2J,E02331,77160,2015-05-14 10:29,2015-01-01,2015-03-31,
S1004N7M,E00846,58160,2015-05-14 10:30,2015-01-01,2015-03-31,
S1004OWV,E21381,21800,2015-05-14 10:45,2015-01-01,2015-03-31,
S1004P0D,E02494,42430,2015-05-14 10:46,2015-01-01,2015-03-31,
S1004OEA,E02797,74250,2015-05-14 11:01,2015-01-01,2015-03-31,
S1004OT3,E01041,49630,2015-05-14 11:04,2015-01-01,2015-03-31,
S1004OTZ,E05663,38360,2015-05-14 11:05,2015-01-01,2015-03-31,
S1004OYM,E00668,39470,2015-05-14 11:07,2015-01-01,2015-03-31,
S1004NW8,E04902,96220,2015-05-14 11:10,2015-01-01,2015-03-31,
S1004NB6,E02301,77390,2015-05-14 11:10,2015-01-01,2015-03-31,
S1004OFK,E04783,81790,2015-05-14 11:11,2015-01-01,2015-03-31,
S1004P0I,E05268,43460,2015-05-14 11:13,2015-01-01,2015-03-31,
S1004P20,E30841,71720,2015-05-14 11:18,2015-01-01,2015-03-31,
S1004OFY,E05620,,2015-05-14 11:20,2015-01-01,2015-03-31,
S1004OXA,E02062,67690,2015-05-14 11:20,2015-01-01,2015-03-31,
S1004OGT,E02644,80600,2015-05-14 11:24,2015-01-01,2015-03-31,
S1004O70,E04068,32410,2015-05-14 11:26,2015-01-01,2015-03-31,
S1004OVX,E05156,48190,2015-05-14 11:28,2015-01-01,2015-03-31,
S1004OWK,E30930,78140,2015-05-14 11:28,2015-01-05,2015-03-31,
S1004OR5,E05369,37270,2015-05-14 11:37,2015-01-01,2015-03-31,
S1004P08,E25283,36490,2015-05-14 11:37,2015-01-01,2015-03-31,
S1004OLU,E04244,,2015-05-14 11:44,2015-01-01,2015-03-31,
S1004O7Y,E05275,43510,2015-05-14 11:51,2015-01-01,2015-03-31,
S1004P2T,E00593,80110,2015-05-14 11:51,2015-01-01,2015-03-31,
S1004P2N,E04039,89460,2015-05-14 11:51,2015-01-01,2015-03-31,
S1004OOF,E01666,63400,2015-05-14 11:52,2015-01-01,2015-03-31,
S1004NV9,E31344,78130,2015-05-14 12:11,2015-01-01,2015-03-31,
S1004P2S,E27464,32860,2015-05-14 12:21,2015-01-01,2015-03-31,
S1004P2M,E05255,43350,2015-05-14 12:35,2015-01-01,2015-03-31,
S1004P1Z,E03144,98430,2015-05-14 12:47,,,S1004NZB
S1004OHT,E01900,,2015-05-14 12:48,2015-01-01,2015-03-31,
S1004OJQ,E02306,68580,2015-05-14 12:59,2015-01-01,2015-03-31,
S1004O43,E04810,97490,2015-05-14 13:00,2015-01-01,2015-03-31,
S1004NHE,E00444,28110,2015-05-14 13:02,2015-01-01,2015-03-31,
S1004OO5,E00259,17880,2015-05-14 13:03,2015-01-01,2015-03-31,
S1004NYA,E27038,,2015-05-14 13:14,2015-01-01,2015-03-31,
S1004OX3,E00607,35970,2015-05-14 13:15,2015-01-01,2015-03-31,
S1004MPI,E00258,17890,2015-05-14 13:15,2015-01-01,2015-03-31,
S1004P2X,E27043,60870,2015-05-14 13:19,2015-01-01,2015-03-31,
S1004O4A,E02470,78390,2015-05-14 13:20,2015-01-01,2015-03-31,
S1004P46,E27361,36730,2015-05-14 13:24,2015-01-01,2015-03-31,
S1004OGJ,E04256,91730,2015-05-14 13:25,2015-01-01,2015-03-31,
S1004OUZ,E00395,25030,2015-05-14 13:27,2015-01-01,2015-03-31,
S1004O4S,E01955,69650,2015-05-14 13:28,2015-01-01,2015-03-31,
S1004OLM,E00674,39500,2015-05-14 13:40,2015-01-01,2015-03-31,
S1004P4O,E05288,23040,2015-05-14 13:46,2015-01-01,2015-03-31,
S1004O2D,E31023,39010,2015-05-14 13:48,2015-01-01,2015-03-31,
